email,user_id,status,prefix,first_name,last_name,suffix,class_year,403431,403432,403433,403434,403435,403436,403437,403438,403439,403440,403441,403442,403443,403444,403445,403446,403447,403449,hr71-11,hr71-12,hr71-13,hr71-14,hr71-15,hr71-16,hr71-17,hr71-2,hr71-3,hr71-4,hr71-5,hr71-6,hr71-7,hr71-8,hr71-9
Alexis.Quincy@modolabs.com,2141717,Pending,Dr.,Alexis,Quincy,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Smith@modolabs.com,2141724,Pending,Mr.,Alexis,Smith,,1971,,,1,1,,1,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Swamy@modolabs.com,2141726,Pending,Mr.,Alexis,Swamy,III,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Tepfenhart@modolabs.com,2141728,Pending,Mr.,Alexis,Tepfenhart,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Winthrop@modolabs.com,2141729,Pending,Ms.,Alexis,Winthrop,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Yu@modolabs.com,2141877,Pending,Mrs.,Alexis,Yu,,1971,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Andrew.Adams@modolabs.com,2141912,Pending,Mr.,Andrew,Adams,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Akins@modolabs.com,2141998,Pending,Dr.,Andrew,Akins,,1971,,,1,1,,,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Amjad@modolabs.com,2142004,Pending,Prof.,Andrew,Amjad,,1971,,,,,,,,,1,,,,,,1,,,,,,,,,1,1,,,,,,,,
Andrew.Bailey@modolabs.com,2142006,Pending,Mr.,Andrew,Bailey,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Cabot@modolabs.com,2142010,Pending,Dr.,Andrew,Cabot,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Chisholm@modolabs.com,2142218,Pending,Ms.,Andrew,Chisholm,,1970,,,,1,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andrew.Currier@modolabs.com,2142529,Pending,Dr.,Andrew,Currier,,1971,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andrew.Dunster@modolabs.com,2142606,Pending,Dr.,Andrew,Dunster,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ellwood@modolabs.com,2142624,Pending,Mr.,Andrew,Ellwood,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Huang@modolabs.com,2142765,Pending,Dr.,Andrew,Huang,,1971,,,1,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andrew.Jones@modolabs.com,2142773,Pending,Mr.,Andrew,Jones,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Kim@modolabs.com,2142846,Pending,Mr.,Andrew,Kim,,1971,,,1,1,1,1,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Kirkland@modolabs.com,2142917,Pending,Dr.,Andrew,Kirkland,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Lee@modolabs.com,2142975,Pending,Mr.,Andrew,Lee,,1971,,,,,1,,,,1,,,,,,1,,1,,,,,,,1,1,,,,,,,,
Andrew.Leverett@modolabs.com,2142985,Pending,Mr.,Andrew,Leverett,,1971,,,,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andrew.Lowell@modolabs.com,2143012,Pending,Dr.,Andrew,Lowell,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Mallon@modolabs.com,2143041,Pending,Mr.,Andrew,Mallon,Jr.,1971,,,1,1,,,1,,,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Mather@modolabs.com,2143059,Pending,Dr.,Andrew,Mather,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Moreland@modolabs.com,2143139,Pending,Dr.,Andrew,Moreland,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Nagatoshi@modolabs.com,2143142,Pending,Mr.,Andrew,Nagatoshi,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.North@modolabs.com,2143144,Pending,Mr.,Andrew,North,III,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ormsbee@modolabs.com,2143146,Pending,Dr.,Andrew,Ormsbee,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Patt@modolabs.com,2143149,Pending,Ms.,Andrew,Patt,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Pforzheimer@modolabs.com,2143152,Pending,Mr.,Andrew,Pforzheimer,Jr.,1971,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Andrew.Quincy@modolabs.com,2143158,Pending,Mr.,Andrew,Quincy,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Smith@modolabs.com,2143192,Pending,Dr.,Andrew,Smith,,1971,,,,1,1,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,
Andrew.Swamy@modolabs.com,2143382,Pending,Ms.,Andrew,Swamy,,1971,,,,,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Andrew.Tepfenhart@modolabs.com,2143384,Pending,Mr.,Andrew,Tepfenhart,,1971,,,1,1,,1,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Winthrop@modolabs.com,2143400,Pending,Mr.,Andrew,Winthrop,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Yu@modolabs.com,2143898,Pending,Mr.,Andrew,Yu,,1971,,,1,1,1,,1,,1,1,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Adams@modolabs.com,2144078,Pending,Dr.,Andy,Adams,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Akins@modolabs.com,2144210,Pending,Dr.,Andy,Akins,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Amjad@modolabs.com,2144219,Pending,Mr.,Andy,Amjad,,1973,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Bailey@modolabs.com,2144229,Pending,Mr.,Andy,Bailey,,1971,,,1,1,1,1,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Cabot@modolabs.com,2144410,Pending,Ms.,Andy,Cabot,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Chisholm@modolabs.com,2144610,Pending,Dr.,Andy,Chisholm,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Currier@modolabs.com,2144820,Pending,Dr.,Andy,Currier,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Dunster@modolabs.com,2144828,Pending,Mr.,Andy,Dunster,III,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Ellwood@modolabs.com,2144833,Pending,Mr.,Andy,Ellwood,,1971,,,,1,,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,
Andy.Huang@modolabs.com,2144840,Pending,Mr.,Andy,Huang,,1971,,,,1,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Andy.Jones@modolabs.com,2144843,Pending,Mr.,Andy,Jones,Jr.,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Kim@modolabs.com,2144848,Pending,Mr.,Andy,Kim,Jr.,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Kirkland@modolabs.com,2145149,Pending,Ms.,Andy,Kirkland,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Lee@modolabs.com,2145393,Pending,Mr.,Andy,Lee,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Leverett@modolabs.com,2145603,Pending,,Andy,Leverett,,1971,,,,,1,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andy.Lowell@modolabs.com,2145736,Pending,The Hon.,Andy,Lowell,,1971,,,1,1,,1,1,,1,1,,,,1,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Mallon@modolabs.com,2145767,Pending,Mr.,Andy,Mallon,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Mather@modolabs.com,2145804,Pending,Mr.,Andy,Mather,,1971,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
Andy.Moreland@modolabs.com,2145818,Pending,Ms.,Andy,Moreland,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Nagatoshi@modolabs.com,2145861,Pending,Dr,Andy,Nagatoshi,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.North@modolabs.com,2145874,Pending,Hon.,Andy,North,,1971,,,1,1,1,,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,
Andy.Ormsbee@modolabs.com,2146224,Pending,Ms.,Andy,Ormsbee,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Patt@modolabs.com,2146705,Pending,Dr.,Andy,Patt,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Pforzheimer@modolabs.com,2147092,Pending,Dr.,Andy,Pforzheimer,,1971,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
Andy.Quincy@modolabs.com,2147201,Pending,Mr.,Andy,Quincy,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Smith@modolabs.com,2147474,Pending,Ms.,Andy,Smith,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Swamy@modolabs.com,2147570,Pending,Mr.,Andy,Swamy,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Tepfenhart@modolabs.com,2147574,Pending,Mr.,Andy,Tepfenhart,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Winthrop@modolabs.com,2147988,Pending,Mr.,Andy,Winthrop,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Yu@modolabs.com,2148010,Pending,Mr.,Andy,Yu,,1971,,,1,1,,,1,,1,1,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Adams@modolabs.com,2148170,Pending,Mr.,Bob,Adams,Jr.,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Akins@modolabs.com,2148185,Pending,Dr.,Bob,Akins,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.jdoe@gmail.com,2148551,Pending,The Honora,Jane,Doe,,1971,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,
modo.jfisher@gmail.com,2148559,Pending,Mr.,Janice,Fisher,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.jpark@gmail.com,2148186,Pending,Dr.,John,Smith,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.jsmith@gmail.com,2148529,Pending,,Jason,Park,,1971,,,1,1,,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.sfisher@gmail.com,2148212,Pending,Dr.,Sam,Fisher,,1971,,,1,1,1,,1,,1,1,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
