email,user_id,status,prefix,first_name,last_name,suffix,class_year,404710,404711,404712,404715,404716,404717,404718,404719,404720,404721,404722,404725,404731,404732,404738,404742,404743,404744,hr66-0,hr66-1,hr66-11,hr66-12,hr66-13,hr66-14,hr66-15,hr66-16,hr66-17,hr66-2,hr66-3,hr66-4,hr66-5,hr66-6,hr66-7,hr66-8,hr66-9
Alexis.Jones@modolabs.com,2144447,Pending,Mr.,Alexis,Jones,,1966,,,,,,,,,,,,,1,,1,1,,,,,,,1,1,,,,,,,,,,,
Alexis.Kim@modolabs.com,2144756,Pending,Mr.,Alexis,Kim,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Kirkland@modolabs.com,2144760,Pending,Mr.,Alexis,Kirkland,,1966,,1,,,,1,,,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lee@modolabs.com,2144763,Pending,Mr.,Alexis,Lee,,1966,,,,,,1,,,1,1,,,1,,1,1,,,,,,,1,1,,,,,,,,,,,
Alexis.Leverett@modolabs.com,2144765,Pending,Mr.,Alexis,Leverett,Jr.,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lowell@modolabs.com,2144769,Pending,Mr.,Alexis,Lowell,III,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mallon@modolabs.com,2144772,Pending,Mr.,Alexis,Mallon,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mather@modolabs.com,2144856,Pending,Dr.,Alexis,Mather,,1966,,,,,1,1,,1,,,1,,,,1,1,,,1,1,,,,,,,,,,,,,,,
Alexis.Moreland@modolabs.com,2145029,Pending,Mr.,Alexis,Moreland,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Nagatoshi@modolabs.com,2145211,Pending,Dr.,Alexis,Nagatoshi,,1966,,,,,1,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,1,1,,,,,,,,
Alexis.North@modolabs.com,2145394,Pending,Dr.,Alexis,North,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Ormsbee@modolabs.com,2145547,Pending,Mr.,Alexis,Ormsbee,,1966,,1,,,,1,,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Patt@modolabs.com,2145697,Pending,Dr.,Alexis,Patt,Jr.,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Pforzheimer@modolabs.com,2145769,Pending,Mr.,Alexis,Pforzheimer,Jr.,1966,,,,,1,1,,1,,,,,,1,1,1,1,1,1,1,,,,,,1,1,,,,,,,,
Alexis.Quincy@modolabs.com,2146357,Pending,Mr.,Alexis,Quincy,Jr.,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Smith@modolabs.com,2146882,Pending,Mr.,Alexis,Smith,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Swamy@modolabs.com,2146883,Pending,Dr.,Alexis,Swamy,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Tepfenhart@modolabs.com,2146884,Pending,Dr.,Alexis,Tepfenhart,,1966,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,1,1,1,1
Alexis.Winthrop@modolabs.com,2146891,Pending,Ms.,Alexis,Winthrop,,1966,,1,,,,1,,1,1,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Yu@modolabs.com,2146892,Pending,Mr.,Alexis,Yu,,1966,,1,,,,1,,1,,,1,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Adams@modolabs.com,2147596,Pending,Mr.,Andrew,Adams,,1966,,,,1,,1,,,,,1,,,,1,1,,,,,,,,,,,,,,,,1,1,1,1
Andrew.Akins@modolabs.com,2147731,Pending,Mr.,Andrew,Akins,Jr.,1966,,,,1,1,,,,,,1,,,1,1,1,1,1,1,1,,,,,,1,1,,,,,1,1,1,1
Andrew.Amjad@modolabs.com,2147964,Pending,Mr.,Andrew,Amjad,Jr.,1966,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,1,1,,,,,,,,
Andrew.Bailey@modolabs.com,2148019,Pending,Mr.,Andrew,Bailey,,1966,,,,,1,1,,,1,1,,,1,,1,1,,,1,1,,,1,1,,,,,,,,,,,
Andrew.Cabot@modolabs.com,2148041,Pending,Dr.,Andrew,Cabot,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Chisholm@modolabs.com,2148063,Pending,Dr.,Andrew,Chisholm,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Currier@modolabs.com,2148181,Pending,Mr.,Andrew,Currier,,1966,,1,,,,1,,1,,,,,,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Dunster@modolabs.com,2148269,Pending,Mr.,Andrew,Dunster,Jr.,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Ellwood@modolabs.com,2148434,Pending,Dr.,Andrew,Ellwood,,1966,,,,,,,,1,1,1,,,1,1,1,1,1,1,,,,,1,1,,1,1,,,,,,,,
Andrew.Huang@modolabs.com,2148536,Pending,Mr.,Andrew,Huang,,1966,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
modo.cfisher@gmail.com,2148538,Pending,Mr.,Cynthia,Fisher,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.dfisher@gmail.com,2148571,Pending,Mr.,Darin,Fisher,,1966,,1,,1,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.jleary@gmail.com,2148585,Pending,Mr.,Joe,Leary,,1966,,,,1,1,1,,,,,1,,1,,1,1,,,1,1,,,1,1,,,,,,,,1,1,1,1
modo.mpark@gmail.com,2148577,Pending,Dr.,Mary,Park,,1966,,1,,,,1,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
modo.sdoe@gmail.com,2148580,Pending,Mr.,Shanon,Doe,,1966,,1,,,,1,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
