email,user_id,status,prefix,first_name,last_name,suffix,class_year,385611,385612,385613,385614,385615,385617,385618,385619,385620,385621,385622,385623,385624,385625,385626,385627,385628,385629,385630,385631,385632,385643,385644,385645,385646,385647,387560,387620,387627,387628,387629,387630,hr61-10,hr61-11,hr61-12,hr61-13,hr61-14,hr61-15,hr61-16,hr61-17,hr61-18,hr61-19,hr61-20,hr61-21,hr61-22,hr61-23,hr61-24,hr61-25,hr61-26,hr61-27,hr61-28,hr61-29,hr61-3,hr61-30,hr61-31,hr61-32,hr61-33,hr61-34,hr61-36,hr61-4,hr61-5,hr61-6,hr61-7,hr61-8,hr61-9
Andrew.Smith@modolabs.com,2039606,Pending,Mr.,Andrew,Smith,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Swamy@modolabs.com,2039610,Pending,Mr.,Andrew,Swamy,,1961,,,,1,,,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Tepfenhart@modolabs.com,2039684,Pending,Mr.,Andrew,Tepfenhart,,1961,,,,1,,,,,1,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Winthrop@modolabs.com,2039720,Pending,Mr.,Andrew,Winthrop,,1961,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andrew.Yu@modolabs.com,2039744,Pending,Dr.,Andrew,Yu,,1961,,,,1,,1,1,,1,,,,,,,,1,,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Adams@modolabs.com,2039827,Pending,Mr.,Andy,Adams,,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Akins@modolabs.com,2039987,Pending,Mr.,Andy,Akins,Jr.,1961,,,,1,,,1,,1,,,,,,,,1,1,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Amjad@modolabs.com,2039993,Pending,Mr.,Andy,Amjad,Jr.,1961,,,,1,,,1,,1,,,,,,,,1,1,1,1,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Bailey@modolabs.com,2040066,Pending,Mr.,Andy,Bailey,,1961,,,1,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Cabot@modolabs.com,2040102,Pending,Dr.,Andy,Cabot,,1961,,,,1,,,,,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Chisholm@modolabs.com,2040119,Pending,Mr.,Andy,Chisholm,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Currier@modolabs.com,2040149,Pending,Dr.,Andy,Currier,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Dunster@modolabs.com,2040191,Pending,Mr.,Andy,Dunster,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Ellwood@modolabs.com,2040196,Pending,Mr.,Andy,Ellwood,Tony,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Huang@modolabs.com,2040253,Pending,Mr.,Andy,Huang,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Jones@modolabs.com,2040279,Pending,Mr.,Andy,Jones,,1961,,,,1,,1,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Kim@modolabs.com,2040615,Pending,Prof.,Andy,Kim,,1961,,,1,1,,1,1,,,,,,1,1,,,1,1,1,,,,,,,,,,1,,,,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,1,1,1,1,1,1
Andy.Kirkland@modolabs.com,2040675,Pending,Dr.,Andy,Kirkland,,1961,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
Andy.Lee@modolabs.com,2040848,Pending,Mr.,Andy,Lee,Jr.,1961,,,,1,,1,1,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Leverett@modolabs.com,2040876,Pending,Mr.,Andy,Leverett,,1961,,,,1,,,1,,1,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Lowell@modolabs.com,2040892,Pending,Mrs.,Andy,Lowell,,1961,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,1,1,1,1,1
Andy.Mallon@modolabs.com,2040965,Pending,Mr.,Andy,Mallon,,1961,,,,1,,,,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Mather@modolabs.com,2041143,Pending,Mr.,Andy,Mather,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Moreland@modolabs.com,2041163,Pending,Mr.,Andy,Moreland,,1961,,,,1,,,,,,,,,,1,1,,1,,,1,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,,,,,,,1,1,1,1,1,1
Andy.Nagatoshi@modolabs.com,2041174,Pending,Mr.,Andy,Nagatoshi,,1961,,,,1,,1,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.North@modolabs.com,2041217,Pending,Mrs.,Andy,North,,1961,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,1,,,
Andy.Ormsbee@modolabs.com,2041255,Pending,Mr.,Andy,Ormsbee,II,1961,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Patt@modolabs.com,2041417,Pending,Mr.,Andy,Patt,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Pforzheimer@modolabs.com,2041424,Pending,Dr.,Andy,Pforzheimer,,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Quincy@modolabs.com,2041430,Pending,Dr.,Andy,Quincy,,1961,,,1,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Smith@modolabs.com,2041433,Pending,Mr.,Andy,Smith,,1961,,,,1,,1,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Swamy@modolabs.com,2041447,Pending,Dr.,Andy,Swamy,,1961,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Tepfenhart@modolabs.com,2041450,Pending,Mr.,Andy,Tepfenhart,,1961,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,1,1,1,,,
Andy.Winthrop@modolabs.com,2041464,Pending,Mr.,Andy,Winthrop,,1961,,1,,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Andy.Yu@modolabs.com,2041473,Pending,Mr.,Andy,Yu,,1961,,1,,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Adams@modolabs.com,2041480,Pending,Dr.,Bob,Adams,,1961,,,,1,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Akins@modolabs.com,2041516,Pending,Mr.,Bob,Akins,III,1961,,,,1,,1,1,,1,,,,,,,,1,,,,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Amjad@modolabs.com,2041708,Pending,Dr.,Bob,Amjad,,1961,,,,1,,1,1,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Bailey@modolabs.com,2041935,Pending,Mrs.,Bob,Bailey,,1961,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Cabot@modolabs.com,2042035,Pending,Dr.,Bob,Cabot,,1961,,,1,1,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Chisholm@modolabs.com,2042068,Pending,Mr.,Bob,Chisholm,,1961,,,1,1,,,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bob.Currier@modolabs.com,2042078,Pending,Mr.,Bob,Currier,,1961,,,1,1,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
