email,user_id,status,prefix,first_name,last_name,suffix,class_year,387927,387928,387929,387930,387931,387933,387934,387935,387936,387937,387938,387939,387940,387941,387942,387943,387944,387946,387949,387950,387951,387954,387955,387956,387964,387965,387966,387967,387968,387969,387970,387971,387972,387973,387974,387975,387976,387978,387979,387982,387983,387984,387985,387986,387988,387989,387990,387991,387992,387993,387994,387995,388004,388010,388011,388012,388013,388017,388019,392349,hr76-10,hr76-11,hr76-12,hr76-13,hr76-14,hr76-15,hr76-16,hr76-17,hr76-18,hr76-19,hr76-2,hr76-20,hr76-21,hr76-22,hr76-23,hr76-24,hr76-26,hr76-27,hr76-28,hr76-3,hr76-4,hr76-5,hr76-6,hr76-7,hr76-8,hr76-9
Alexis.Jones@modolabs.com,2050329,Pending,,Alexis,Jones,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Kim@modolabs.com,2050730,Pending,Mr.,Alexis,Kim,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Kirkland@modolabs.com,2051088,Pending,Ms.,Alexis,Kirkland,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lee@modolabs.com,2051169,Pending,,Alexis,Lee,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Leverett@modolabs.com,2051176,Pending,Mr.,Alexis,Leverett,,1976,,,,,,,1,1,1,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Lowell@modolabs.com,2051493,Pending,Mr.,Alexis,Lowell,,1976,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Mallon@modolabs.com,2051930,Pending,Dr.,Alexis,Mallon,,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexis.Mather@modolabs.com,2052133,Pending,Ms.,Alexis,Mather,,1976,1,,,1,,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,1,1,1,1
Alexis.Moreland@modolabs.com,2052156,Pending,Mrs.,Alexis,Moreland,,1976,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Alexis.Nagatoshi@modolabs.com,2052409,Pending,Rev. Dr.,Alexis,Nagatoshi,,1976,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,,1,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,
Alexis.North@modolabs.com,2053402,Pending,Dr.,Alexis,North,,1976,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Alexis.Ormsbee@modolabs.com,2053457,Pending,Mr.,Alexis,Ormsbee,,1976,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1
Alexis.Patt@modolabs.com,2053462,Pending,Ms.,Alexis,Patt,,1976,,,,,1,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,1,,1,,,1,1,,,,,,,,,1,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,,,,
Alexis.Pforzheimer@modolabs.com,2053858,Pending,Ms.,Alexis,Pforzheimer,,1976,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Quincy@modolabs.com,2053859,Pending,Ms.,Alexis,Quincy,,1976,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,1,1,1,,,,,,,,1,1,,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alexis.Smith@modolabs.com,2054076,Pending,Ms.,Alexis,Smith,,1976,1,,,,,,,,,,,,,,1,1,,,,1,,,,,,,,,,,,,,1,,,,,1,,,1,1,1,,,,,,,,1,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,1
Alexis.Swamy@modolabs.com,2054090,Pending,Mr.,Alexis,Swamy,,1976,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,1,,,1,1,1,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,
modo.mpark@gmail.com,2038649,Pending,Ms.,Mary,Park,,2007,,,,1,1,1,1,1,1,1,,,,,1,1,,,,1,1,,,,,,,,,,,,,1,,1,1,,1,,,1,,1,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,,1,1,1,1
